// Results for naive controller 
t_ms,qw,qx,qy,qz,err_deg,wx,wy,wz,tx,ty,tz,loop_us
102,0.969,0.000,0.250,-0.000,180.91,0.01,5.00,-0.00,17.40,-41.92,13.51,2148
117,0.959,0.002,0.285,-0.000,180.79,0.25,4.71,0.06,16.20,-39.44,14.65,1992
134,0.948,0.005,0.319,-0.000,180.41,0.52,4.37,0.13,14.86,-36.60,15.61,2004
149,0.936,0.010,0.351,-0.000,179.80,0.74,4.10,0.20,13.76,-34.27,16.52,1992
165,0.925,0.017,0.381,-0.001,178.99,0.94,3.82,0.27,12.68,-31.97,17.16,1996
182,0.913,0.026,0.410,-0.001,177.98,1.14,3.55,0.34,11.64,-29.68,17.84,2000
197,0.901,0.036,0.433,-0.002,176.81,1.30,3.34,0.41,10.77,-27.83,18.22,2000
212,0.890,0.046,0.454,-0.002,175.56,1.45,3.12,0.48,9.94,-26.01,18.46,2012
228,0.879,0.059,0.475,-0.003,174.08,1.57,2.94,0.55,9.21,-24.43,18.73,2000
243,0.867,0.072,0.494,-0.004,172.60,1.69,2.77,0.62,8.52,-22.97,18.83,2004
259,0.856,0.086,0.511,-0.004,171.00,1.80,2.60,0.70,7.86,-21.54,18.79,2008
274,0.844,0.102,0.527,-0.005,169.14,1.89,2.46,0.77,7.28,-20.31,18.80,2000
289,0.833,0.117,0.541,-0.006,167.40,1.97,2.33,0.84,6.73,-19.19,18.68,2000
305,0.821,0.133,0.555,-0.007,165.52,2.05,2.20,0.91,6.21,-18.10,18.43,2008
320,0.810,0.151,0.567,-0.007,163.43,2.11,2.10,0.98,5.74,-17.18,18.25,2004
335,0.798,0.169,0.578,-0.008,161.40,2.17,2.00,1.05,5.30,-16.34,17.97,2008
351,0.787,0.186,0.588,-0.009,159.31,2.22,1.91,1.13,4.88,-15.53,17.58,2000
366,0.775,0.206,0.598,-0.009,157.01,2.26,1.83,1.19,4.50,-14.86,17.26,2004
381,0.763,0.225,0.606,-0.009,154.79,2.29,1.76,1.26,4.13,-14.26,16.87,2004
397,0.751,0.244,0.614,-0.009,152.53,2.32,1.69,1.33,3.79,-13.69,16.40,2004
412,0.738,0.265,0.621,-0.010,150.06,2.35,1.64,1.39,3.47,-13.22,15.99,2004
428,0.726,0.284,0.626,-0.009,147.70,2.37,1.59,1.46,3.17,-12.81,15.48,2004
443,0.713,0.304,0.631,-0.009,145.31,2.38,1.54,1.51,2.89,-12.43,15.00,2004
458,0.700,0.326,0.636,-0.009,142.71,2.39,1.50,1.57,2.61,-12.12,14.53,2008
474,0.687,0.346,0.639,-0.008,140.25,2.39,1.47,1.63,2.37,-11.84,13.98,2008
489,0.673,0.366,0.642,-0.007,137.76,2.39,1.44,1.68,2.13,-11.62,13.48,2004
504,0.659,0.388,0.645,-0.006,135.08,2.39,1.41,1.73,1.89,-11.44,12.96,2008
520,0.645,0.408,0.646,-0.005,132.54,2.38,1.39,1.79,1.68,-11.28,12.39,2004
535,0.631,0.430,0.647,-0.003,129.82,2.37,1.37,1.83,1.48,-11.16,11.86,2000
549,0.616,0.450,0.647,-0.002,127.26,2.35,1.35,1.87,1.28,-11.07,11.32,1996
566,0.600,0.471,0.647,0.002,124.51,2.33,1.33,1.92,1.09,-11.03,10.71,2000
581,0.585,0.492,0.646,0.003,121.76,2.31,1.32,1.96,0.92,-10.94,10.16,2008
