t,qw,qx,qy,qz,err_deg,wx,wy,wz,tx,ty,tz,loop_us
102,0.969,0,0.25,0,179.09,0.01,5,0,-17.48,-42.08,-13.47,2204
117,0.959,0,0.285,0,179,-0.23,4.71,-0.07,-16.28,-39.62,-14.55,2052
133,0.948,-0.003,0.317,0,178.69,-0.49,4.39,-0.13,-15.02,-36.95,-15.5,2048
148,0.937,-0.008,0.349,0,178.13,-0.7,4.11,-0.19,-13.91,-34.62,-16.41,2044
163,0.926,-0.014,0.377,0.001,177.42,-0.91,3.83,-0.26,-12.83,-32.3,-17.03,2052
179,0.914,-0.023,0.404,0.001,176.48,-1.09,3.59,-0.33,-11.87,-30.29,-17.67,2056
194,0.903,-0.032,0.428,0.001,175.44,-1.25,3.36,-0.4,-11,-28.29,-18.03,2056
209,0.892,-0.043,0.451,0.002,174.17,-1.41,3.15,-0.47,-10.14,-26.56,-18.43,2052
225,0.88,-0.055,0.471,0.003,172.84,-1.54,2.96,-0.55,-9.38,-24.96,-18.58,2056
240,0.869,-0.067,0.492,0.003,171.4,-1.66,2.78,-0.62,-8.66,-23.37,-18.8,2052
256,0.857,-0.082,0.508,0.004,169.75,-1.77,2.62,-0.69,-8.01,-22.02,-18.79,2052
271,0.846,-0.096,0.524,0.005,168.09,-1.87,2.46,-0.76,-7.38,-20.68,-18.68,2052
286,0.835,-0.113,0.539,0.005,166.22,-1.95,2.33,-0.83,-6.84,-19.54,-18.62,2052
302,0.824,-0.129,0.552,0.006,164.38,-2.02,2.21,-0.91,-6.31,-18.5,-18.39,2052
318,0.813,-0.145,0.565,0.007,162.46,-2.09,2.09,-0.98,-5.82,-17.49,-18.2,2048
333,0.801,-0.164,0.576,0.007,160.34,-2.15,1.99,-1.05,-5.36,-16.64,-17.92,2044
349,0.789,-0.182,0.586,0.008,158.27,-2.2,1.89,-1.12,-4.94,-15.81,-17.54,2052
364,0.777,-0.201,0.596,0.008,156,-2.24,1.81,-1.19,-4.54,-15.12,-17.22,2048
379,0.766,-0.22,0.604,0.009,153.82,-2.28,1.74,-1.26,-4.18,-14.51,-16.77,2040
395,0.754,-0.239,0.612,0.009,151.58,-2.31,1.67,-1.32,-3.83,-13.92,-16.38,2036
410,0.742,-0.26,0.618,0.009,149.14,-2.34,1.61,-1.39,-3.49,-13.44,-15.94,2044
425,0.73,-0.279,0.624,0.009,146.81,-2.36,1.56,-1.45,-3.19,-12.98,-15.43,2044
441,0.716,-0.3,0.63,0.009,144.28,-2.37,1.51,-1.51,-2.89,-12.62,-14.97,2048
456,0.704,-0.321,0.634,0.008,141.87,-2.38,1.48,-1.57,-2.62,-12.3,-14.43,2048
472,0.691,-0.341,0.637,0.007,139.43,-2.39,1.44,-1.63,-2.37,-12,-13.93,2044
487,0.677,-0.362,0.64,0.007,136.8,-2.39,1.41,-1.68,-2.11,-11.77,-13.42,2048
502,0.664,-0.383,0.642,0.006,134.3,-2.38,1.38,-1.73,-1.89,-11.57,-12.85,2052
518,0.65,-0.404,0.644,0.004,131.62,-2.37,1.35,-1.78,-1.65,-11.41,-12.32,2048
533,0.636,-0.424,0.645,0.003,129.08,-2.36,1.33,-1.83,-1.45,-11.27,-11.75,2044
548,0.622,-0.446,0.645,0.001,126.37,-2.35,1.31,-1.87,-1.26,-11.17,-11.21,2044
564,0.607,-0.466,0.644,-0.001,123.81,-2.33,1.29,-1.91,-1.06,-11.09,-10.67,2048
579,0.592,-0.485,0.643,-0.003,121.24,-2.31,1.28,-1.96,-0.89,-11.03,-10.08,2044
594,0.576,-0.506,0.641,-0.005,118.5,-2.28,1.26,-1.99,-0.7,-10.99,-9.53,2052
610,0.561,-0.526,0.639,-0.008,115.93,-2.26,1.25,-2.03,-0.55,-10.95,-8.95,2056
625,0.546,-0.545,0.636,-0.011,113.36,-2.23,1.23,-2.06,-0.4,-10.94,-8.39,2060
641,0.53,-0.564,0.633,-0.014,110.63,-2.19,1.22,-2.09,-0.24,-10.94,-7.84,2052
656,0.515,-0.583,0.628,-0.017,108.07,-2.16,1.21,-2.12,-0.12,-10.93,-7.27,2056
671,0.498,-0.602,0.624,-0.02,105.36,-2.12,1.19,-2.14,0.03,-10.94,-6.7,2052
687,0.483,-0.619,0.618,-0.024,102.83,-2.08,1.18,-2.16,0.15,-10.95,-6.14,2052
702,0.467,-0.637,0.613,-0.028,100.31,-2.04,1.16,-2.18,0.25,-10.96,-5.59,2052
717,0.451,-0.654,0.606,-0.032,97.65,-2,1.15,-2.2,0.38,-10.96,-5.02,2056
733,0.435,-0.671,0.599,-0.036,95.17,-1.95,1.13,-2.21,0.48,-10.96,-4.47,2048
748,0.42,-0.686,0.592,-0.04,92.72,-1.91,1.11,-2.22,0.56,-10.96,-3.93,2044
763,0.403,-0.703,0.584,-0.045,90.13,-1.86,1.09,-2.23,0.67,-10.95,-3.37,2048
779,0.388,-0.718,0.576,-0.049,87.73,-1.82,1.07,-2.24,0.75,-10.94,-2.84,2048
794,0.373,-0.732,0.568,-0.054,85.35,-1.77,1.05,-2.25,0.82,-10.91,-2.32,2044
809,0.356,-0.747,0.558,-0.058,82.86,-1.72,1.02,-2.25,0.93,-10.88,-1.77,2044
825,0.342,-0.76,0.549,-0.063,80.54,-1.67,1,-2.25,0.98,-10.83,-1.26,2048
840,0.328,-0.773,0.539,-0.068,78.27,-1.62,0.97,-2.25,1.03,-10.77,-0.76,2040
856,0.313,-0.786,0.529,-0.072,75.87,-1.57,0.94,-2.24,1.09,-10.71,-0.22,2044
871,0.298,-0.798,0.518,-0.077,73.66,-1.52,0.92,-2.24,1.16,-10.64,0.26,2044
886,0.284,-0.809,0.508,-0.082,71.49,-1.48,0.89,-2.23,1.21,-10.53,0.73,2044
902,0.271,-0.82,0.496,-0.086,69.36,-1.43,0.85,-2.22,1.25,-10.44,1.24,2036
917,0.257,-0.831,0.485,-0.091,67.12,-1.38,0.82,-2.21,1.31,-10.33,1.69,2032
932,0.244,-0.841,0.474,-0.095,65.07,-1.33,0.79,-2.19,1.35,-10.21,2.12,2036
948,0.231,-0.85,0.462,-0.1,63.05,-1.29,0.75,-2.18,1.37,-10.06,2.55,2036
963,0.218,-0.86,0.45,-0.104,60.94,-1.24,0.72,-2.16,1.43,-9.92,3.01,2040
977,0.206,-0.869,0.438,-0.108,59.01,-1.2,0.68,-2.14,1.45,-9.76,3.41,2048
993,0.195,-0.877,0.426,-0.111,57.12,-1.15,0.65,-2.12,1.48,-9.57,3.78,2044
